NORTH AMERICA,1,Alaska,2,6,32,,,
NORTH AMERICA,2,Alberta,1,6,7,9,4,
NORTH AMERICA,3,America Central,13,4,9,,,
NORTH AMERICA,4,Estados Unidos Orientales,3,9,2,7,8,
NORTH AMERICA,5,Groenlandia,6,7,8,21,,
NORTH AMERICA,6,Territorio Noroccidental,1,2,7,5,,
NORTH AMERICA,7,Ontario,6,2,9,4,8,5
NORTH AMERICA,8,Quebec,4,7,5,,,
NORTH AMERICA,9,Estados Unidos Occidentales,2,7,4,3,,
SOUTH AMERICA,10,Argentina,11,12,,,,
SOUTH AMERICA,11,Brasil,10,12,13,18,,
SOUTH AMERICA,12,Peru,10,11,13,,,
SOUTH AMERICA,13,Venezuela,11,12,3,,,
AFRICA,14,Congo,15,18,19,,,
AFRICA,15,Africa Oriental,14,19,17,16,18,33
AFRICA,16,Egipto,24,18,15,33,,
AFRICA,17,Madagascar,15,19,,,,
AFRICA,18,Africa del Norte,16,14,15,26,11,
AFRICA,19,Africa del Sur,14,15,17,,,
EUROPE,20,Gran Bretana,21,22,23,26,,
EUROPE,21,Islandia,20,23,5,,,
EUROPE,22,Europa del Norte,20,23,26,24,25,
EUROPE,23,Escandinavia,20,21,22,25,,
EUROPE,24,Europa del Sur,26,22,25,16,33,
EUROPE,25,Ucrania,22,23,24,33,27,37
EUROPE,26,Europa Occidental,20,22,24,18,,
ASIA,27,Afghanistan,25,28,29,33,37,
ASIA,28,China,36,34,37,27,29,35
ASIA,29,India,35,28,27,33,,
ASIA,30,Irkutsk,32,38,36,34,,
ASIA,31,Japon,32,34,,,,
ASIA,32,Kamchatka,38,30,34,1,,
ASIA,33,Medio Oriente,27,29,25,16,24,15
ASIA,34,Mongolia,36,30,32,31,28,
ASIA,35,Siam,28,29,40,,,
ASIA,36,iberia,37,28,34,30,38,
ASIA,37,Ural,27,28,36,25,,
ASIA,38,Yakutsk,36,30,32,32,,
AUSTRALIA,39,Australia Oriental,41,42,,,,
AUSTRALIA,40,Indonesia,41,42,35,,,
AUSTRALIA,41,Nueva Guinea,39,40,42,,,
AUSTRALIA,42,Australia Occidental,39,40,41,,,
