NORTH AMERICA,1,Alaska
NORTH AMERICA,2,Alberta
NORTH AMERICA,3,America Central
NORTH AMERICA,4,Estados Unidos Orientales
NORTH AMERICA,5,Groenlandia
NORTH AMERICA,6,Territorio Noroccidental
NORTH AMERICA,7,Ontario
NORTH AMERICA,8,Quebec
NORTH AMERICA,9,Estados Unidos Occidentales
SOUTH AMERICA,10,Argentina
SOUTH AMERICA,11,Brasil
SOUTH AMERICA,12,Peru
SOUTH AMERICA,13,Venezuela
AFRICA,14,Congo
AFRICA,15,Africa Oriental
AFRICA,16,Egipto
AFRICA,17,Madagascar
AFRICA,18,Africa del Norte
AFRICA,19,Africa del Sur
EUROPE,20,Gran Bretana
EUROPE,21,Islandia
EUROPE,22,Europa del Norte
EUROPE,23,Escandinavia
EUROPE,24,Europa del Sur
EUROPE,25,Ucrania
EUROPE,26,Europa Occidental
ASIA,27,Afghanistan
ASIA,28,China
ASIA,29,India
ASIA,30,Irkutsk
ASIA,31,Japon
ASIA,32,Kamchatka
ASIA,33,Medio Oriente
ASIA,34,Mongolia
ASIA,35,Siam
ASIA,36,iberia
ASIA,37,Ural
ASIA,38,Yakutsk
AUSTRALIA,39,Australia Oriental
AUSTRALIA,40,Indonesia
AUSTRALIA,41,Nueva Guinea
AUSTRALIA,42,Australia Occidental
